MANIFEST IDENTIFER NUMBER,SHIP NAME,CODE FOR SHIP PORT OF EMBARKATION,SHIP ARRIVAL DATE,NUMBER OF CORRESPONDING PASSENGERS
858,GREAT WESTERN,4,04-28-1846,14
865,SEA KING,4,04-29-1846,174
868,VENICE,4,04-30-1846,236
869,YORKSHIRE,4,07-08-1848,230
870,ORPHAN,4,05-01-1846,268
894,NEW YORK,4,11-06-1846,267
895,JOHN R. SKIDDY,4,07-01-1846,380
897,WAGRAM,61,11-06-1846,5
900,RAPPAHANOCK,4,11-11-1846,357
901,JUNIUS,4,05-01-1846,116
902,SHERIDAN,4,05-07-1846,271
903,SHANANGA,4,05-01-1846,159
906,PANTHEA,4,05-04-1846,230
908,MEDIATOR,61,05-04-1846,5
909,BELFAST,142,05-05-1846,2
910,JANE,4,05-05-1846,242
912,RELIANCE,4,05-06-1846,289
913,MACEDONIA,4,05-07-1846,158
915,AGNES GILMORE,4,05-07-1846,65
916,CAMBRIDGE,4,05-08-1846,277
917,SARACEN,6,05-08-1846,8
918,ROCHESTER,4,05-08-1846,269
919,THOMAS,4,05-11-1846,243
921,ATLAS,4,05-11-1846,259
923,OTTOWA,4,05-12-1846,290
926,JOHN CLARK,4,05-14-1846,311
927,ARABELLA,4,05-14-1846,265
928,MONTEAUMA,4,05-15-1846,350
929,ALHAMBRA,59,06-01-1846,192
931,NEW HAMPSHIRE,4,11-12-1846,173
932,GARRICK,4,06-01-1846,355
940,ATLAS,4,09-16-1846,17
943,ROSCIUS,4,06-15-1846,222
945,GREAT WESTERN,4,06-15-1846,43
947,MAINE,4,06-01-1846,224
948,JOHN ROBERT,4,06-01-1846,200
949,ADIRONDACK,4,09-01-1846,264
950,REGULUS,4,06-16-1846,89
951,JOHN CAMPBELL,4,06-16-1846,208
952,LAUREL,4,06-11-1846,322
953,FIDELIA,4,06-01-1846,344
954,LADY HUNTLEY,4,06-01-1846,197
956,SWITZERLAND,61,09-04-1846,1
957,SARACEN,6,09-04-1846,23
958,ST. GEORGE,4,08-03-1846,184
959,WATERLOO,4,06-01-1846,214
960,AVALANCHE,61,08-03-1846,2
962,ANN HARLEY,6,08-03-1846,6
963,SAMUEL HICKS,4,09-04-1846,13
964,LOUISA,50,06-16-1846,92
965,EMPIRE,4,06-17-1846,415
967,BROOKSBY,6,06-01-1846,164
968,BROOM,4,06-01-1846,332
973,ESPINDOLA,4,06-01-1846,272
974,ST. PATRICK,4,09-05-1846,3
