MANIFEST IDENTIFER NUMBER,SHIP NAME,CODE FOR SHIP PORT OF EMBARKATION,SHIP ARRIVAL DATE,NUMBER OF CORRESPONDING PASSENGERS
2331,LOUISIANA,4,08-05-1847,162
2332,ST. PATRICK,4,08-09-1847,327
2333,CLIFTON,4,05-17-1847,237
2334,QUEEN OF THE WEST,4,12-16-1847,215
2335,ATLAS,4,05-17-1847,317
2336,FAGAN BEALAC,59,05-17-1847,198
2337,J A MUNN,70,12-20-1847,1
2338,ASHLAND,4,12-20-1847,217
2340,PRINCE ALBERT,61,10-25-1847,1
2341,HANNAH THORTON,4,10-25-1847,147
2342,ANN HARLEY,6,08-10-1847,112
2344,MANCHESTER,4,10-25-1847,148
2345,EMMA PRESCOTT,35,08-10-1847,53
2345,EMMA PRESCOTT,116,08-11-1847,1
2346,ADELBARAN,46,08-10-1847,58
2347,AFGHAN,6,08-10-1847,141
2348,EMPIRE,4,08-10-1847,323
2349,ALBION,134,10-25-1847,85
2350,TALBOTT,171,10-25-1847,1
2351,WEST POINT,4,10-25-1847,325
2352,GEORGIA,6,08-11-1847,28
2353,GONDOLA,59,08-11-1847,113
2355,ARTHUR,71,08-16-1847,6
2356,CATHERINE,50,08-17-1847,22
2357,RELIANCE,4,12-21-1847,285
2358,SHERIDAN,4,08-18-1847,231
2359,ELLERSLIE,4,08-18-1847,232
2361,CORNELIA,4,08-23-1847,367
2362,HENRY CLAY,4,08-26-1847,333
2363,ELIZA PERROE,4,10-25-1847,237
2365,MARMION,4,05-18-1847,294
2366,JANE E WILLIAMS,3,05-18-1847,160
2367,HOWARD,4,05-18-1847,287
2368,JOHN G COSTER,4,10-26-1847,29
2369,PRINCE DE JOINVILLE,4,10-26-1847,119
2370,YORKSHIRE,4,10-27-1847,280
2371,WAVERLY,16,08-28-1847,2
2372,HARMONIA,6,08-28-1847,118
2373,BACHELOR,59,08-30-1847,109
2374,GUADELQUIVER,4,08-30-1847,12
2377,ST. GEORGE,4,09-01-1847,225
2378,BURLINGTON,4,09-02-1847,212
2379,SENATOR,4,09-02-1847,282
2380,REPUBLIC,4,10-28-1847,150
2381,COMMERCE,35,11-03-1847,90
2382,MARY PHILLIPS,59,11-04-1847,15
2383,BROOKSBY,6,11-05-1847,5
2384,ELIZABETH DENISON,4,11-05-1847,209
2385,PEDRAZA,38,11-09-1847,2
2386,WASHINGTON,94,11-10-1847,4
2388,LOTA,46,11-11-1847,6
2389,AGILE,46,05-18-1847,74
2390,SOUTHERNER,4,04-10-1847,259
2391,SYMMETRY,4,05-18-1847,83
2392,DEFENCE,4,04-17-1847,202
2394,JANE AND BARABARA,4,04-10-1847,146
2395,CORNELIA,4,04-10-1847,386
2396,PETER HATTRICK,4,12-21-1847,152
2398,SHERIDAN,4,12-22-1847,252
2399,NORTHUMBERLAND,61,12-22-1847,102
2400,ELLERSLIE,4,04-10-1847,255
2401,ENGLAND,4,04-12-1847,306
2402,QUEEN OF THE WEST,4,04-12-1847,449
2403,ROGER STEWART,173,04-17-1847,135
2406,NO RECORD OF SHIP,4,04-17-1847,197
2407,MARION,3,04-12-1847,180
2408,AYSHIRE,53,04-13-1847,205
2415,REPUBLIC,4,04-13-1847,382
2416,JOHN BRIGHT,4,04-14-1847,121
2417,IMPERIAL,106,04-14-1847,82
2424,MARY MORRIS,6,04-15-1847,158
2425,CUSHLAMACHREE,0,04-15-1847,125
2426,UNDINE,134,04-17-1847,61
2427,ROYAL SOVEREIGN,4,04-19-1847,174
2428,LORD DUFFERIN,4,04-19-1847,249
2430,BARLOW,4,04-20-1847,158
2434,JOHN RAVENEL,4,04-20-1847,270
2435,CEYLON,4,04-20-1847,168
2436,OXFORD,4,04-15-1847,288
2437,PONS,50,04-16-1847,111
2438,GREAT BRITAIN,18,04-16-1847,125
2439,OSCEOLA,6,04-16-1847,219
2440,MEG LEE,53,04-20-1847,82
2441,ALBION,35,04-20-1847,138
2442,HOTTINGUER,4,04-10-1847,236
2443,ZANONI,4,04-20-1847,216
2444,COURTNEY,4,04-22-1847,244
2445,HARMONY,4,04-16-1847,199
2447,DROMAHAIR,106,05-25-1847,150
2448,HIBERNIA,0,05-27-1847,86
2449,FIDELIA,4,05-27-1847,307
2450,W WARD,4,05-27-1847,266
2451,SPEED,4,05-28-1847,208
2452,PACIFIC,4,05-28-1847,205
2453,ASHLAND,4,05-31-1847,156
2454,HINDOO,4,05-31-1847,79
2456,FLORIDIAN,3,05-24-1847,158
2457,FRIENDSHIP,4,05-24-1847,117
2458,WALKELLA,35,05-24-1847,90
2459,HEATHER BELL,134,05-24-1847,118
2460,SEVEN LASS,6,04-23-1847,2
2461,PETER HATTRICK,4,04-23-1847,212
2462,YOUNG QUEEN,35,04-24-1847,111
2463,ACADIA,4,04-25-1847,288
2464,ROSE STANDISH,16,04-26-1847,1
2465,ANNAMARIA,4,04-26-1847,70
2466,VIRGINIAN,4,04-28-1847,239
2467,DOWNS,50,05-19-1847,76
2468,COSMO,52,05-20-1847,164
2469,COMMERCE,4,05-20-1847,47
2470,COOLOCK,61,05-20-1847,107
2471,EMBLEM,6,05-20-1847,222
2472,LONDON,61,05-21-1847,135
2473,SEA KING,18,05-21-1847,224
2474,VICTORY,59,05-21-1847,207
2475,ADVENTURE,148,12-24-1847,1
2476,HAMPDEN,4,12-27-1847,242
2477,NIANTIC,4,12-28-1847,34
2478,BRAZILIAN,136,12-29-1847,9
2479,BREAM,67,12-29-1847,1
2480,SARDINIA,4,05-21-1847,299
2481,NACOOCHEE,59,05-22-1847,100
2482,EMIGRANT,4,05-22-1847,259
2483,ADAM WRIGHT,6,05-22-1847,122
2483,Unknown,4,05-25-1848,294
2484,WATERLOO,4,05-22-1847,338
2485,GLENMORE,18,05-24-1847,167
2486,CLARENCE,35,05-24-1847,102
2487,WILLIAM CARSON,4,05-24-1847,135
2488,D.B.,46,05-24-1847,74
2489,CHARLES,176,05-24-1847,70
2490,DOLPHIN,134,05-08-1847,79
2491,ISABELLA,46,05-10-1847,48
2492,HENRY CLAY,4,04-26-1847,433
2493,SWITZERLAND,61,04-27-1847,58
2494,ORPHAN,4,04-27-1847,267
2495,ELLEN,4,04-28-1847,159
2496,DRYDEN,0,04-29-1847,30
2497,OLINDER,4,04-29-1847,158
2498,JAVA,4,04-30-1847,216
2499,LUCONIA,61,04-30-1847,8
2500,ENTERPRISE,59,04-30-1847,169
2502,TECUMSEH,6,09-03-1847,39
2503,MATILDA,4,09-04-1847,263
2504,BURLINGTON,4,09-06-1847,158
2505,EMMA WATTS,61,09-06-1847,74
2506,SWITZERLAND,61,09-06-1847,8
2507,PALMETTO,42,09-06-1847,1
2508,JANE MORISON,6,09-07-1847,11
2510,CHAOS,4,09-08-1847,278
2511,ADIRONDACK,4,09-08-1847,228
2512,MEDIATOR,61,09-08-1847,12
2513,ALMEDA,4,09-09-1847,18
2514,MARY MORRIS,6,09-09-1847,44
2515,CONSTITUTION,4,09-09-1847,498
2516,MARGARET SULLIVAN,53,09-09-1847,6
2518,COLUMBIA,4,09-10-1847,165
2520,ANN,177,09-11-1847,1
2521,SARDINIA OF NEW YORK,4,09-11-1847,88
2523,SARAH HAND,4,09-13-1847,105
2524,SEA OF NEW YORK,4,09-13-1847,166
2526,GARRICK,4,09-13-1847,270
2527,ISAAC WALTON,4,09-13-1847,119
2532,HUGUENOT,4,03-09-1847,175
2533,COLLOONEY,61,09-13-1847,19
2534,KALAMAZOO,4,09-13-1847,139
2536,MARY PARKINS,148,09-14-1847,1
2537,MONTEZUMA,4,09-14-1847,355
2538,GLENMORE,4,09-15-1847,140
2539,ADARIO,106,09-16-1847,62
2540,FALCON,60,09-17-1847,5
2541,CAMBRIDGE,4,09-17-1847,260
2542,VICTORIA,61,09-17-1847,1
2544,ORPHEUS,4,09-18-1847,24
2545,RAPPAHANNOCK,4,09-18-1847,453
2546,SEA,4,09-18-1847,243
2547,MASSACHUSETTS,4,09-20-1847,93
2549,NEW WORLD,4,09-21-1847,475
2550,TROUBADOUR,4,09-21-1847,204
2552,SARAH SANDS,4,09-23-1847,9
2553,STAR REPUBLIC,74,09-24-1847,1
2554,JOHN R SKIDDY,4,09-24-1847,200
2556,JOSEPH HAM,116,09-28-1847,4
2557,AMERICA,4,09-28-1847,199
2558,MEMPHIS,4,09-29-1847,111
2559,ADAM CARR,6,09-29-1847,6
2560,LIVERPOOL,4,11-12-1847,215
2562,TAROLINTA,4,11-12-1847,165
2565,JONA,145,11-15-1847,2
2567,CAITHNESSHIRE,18,11-15-1847,109
2568,ATLAS,4,11-15-1847,155
2571,THAETUS,3,11-18-1847,114
2572,ISABELLA HELEN,181,11-18-1847,9
2573,SARAH,136,11-19-1847,1
2574,JANE GLASSIN,4,11-20-1847,264
2575,NEBRASKA,4,11-22-1847,171
2576,M A FLEMING,181,11-22-1847,4
2578,ANTELEON,136,11-24-1847,3
2579,CREOLE,4,11-24-1847,282
2580,SPEEDWELL,180,01-03-1848,2
2581,TORONTO,61,01-05-1848,3
2582,EMBLEM,3,01-10-1848,42
2585,ANN HARLEY,6,01-13-1848,8
2586,MONTEZUMA,171,01-14-1848,12
2587,ABERDEEN,4,01-15-1848,130
2588,SEA,4,01-17-1848,157
2589,NIAGARA,4,11-25-1847,117
2590,JOHN R GARDNER,155,11-25-1847,1
2591,HUGUENOT,4,11-26-1847,222
2592,CONSTITUTION,18,11-26-1847,193
2593,CAROLINA,4,11-26-1847,37
2594,LIBERTY,4,11-26-1847,230
2595,WARREN,18,11-26-1847,19
2596,MARGARET ELIZABETH,148,11-29-1847,1
2597,ERATA,182,11-29-1847,1
2598,WATERLOO,4,11-30-1847,328
2599,MILLICETE,4,02-01-1848,268
2601,DIGBY,4,02-01-1848,254
2602,FIDELIA,4,02-03-1848,149
2603,OXFORD,4,02-04-1848,125
2606,JOHN R SKIDDY,4,02-04-1848,99
2608,LIVERPOOL,4,02-05-1848,137
2609,SARAH SANDS,4,02-10-1848,41
2610,COLLOONEY,6,02-10-1848,1
2611,ISAAC WRIGHT,4,02-11-1848,200
2612,MARGARET EVANS,61,02-14-1848,9
2613,CAMBRIA,4,07-01-1848,104
2614,GEORGE MARSDEN,4,07-01-1848,113
2615,WEST POINT,4,07-03-1848,298
2616,AUGUSTA,6,07-03-1848,203
2617,MECCA,183,07-03-1848,97
2618,COLUMBINE,61,07-03-1848,170
2619,SPEED,4,07-05-1848,328
2620,HOTTINGUER,4,02-15-1848,105
2622,HIBERNIA,4,02-17-1848,1
2623,MADAWASKA,6,02-17-1848,20
2624,ROSCIUS,4,02-21-1848,180
2625,GEO A HOPLEY,4,02-21-1848,85
2626,HYNDERFORD,4,02-23-1848,4
2627,EFFINGHAM,46,02-25-1848,186
2628,BROTHERS,53,02-28-1848,106
2629,UNICORN,4,02-29-1848,260
2631,GLENMORE,18,04-01-1848,162
2632,JOHN RAVENEL,4,04-01-1848,179
2633,EMIGRANT,4,03-01-1848,211
2634,HORTENSIA,185,03-03-1848,1
2635,MONTEZUMA,4,01-17-1848,222
2636,HENRY CLAY,4,01-17-1848,390
2637,PRINCESS ALICE,4,01-17-1848,228
2639,JANE H GLIDEN,4,01-18-1848,151
2640,NEW YORK,4,04-03-1848,282
2641,ZANONI,4,03-07-1848,176
2642,WEST POINT,4,03-07-1848,237
2644,LOUISIANA,4,03-13-1848,119
2645,MEMNON,4,03-13-1848,156
2647,CAMBRIA,4,03-18-1848,14
2648,JAMESTOWN,4,03-20-1848,290
2649,KATE,67,03-21-1848,1
2650,SENATOR,4,04-03-1848,294
2651,VIBILIA,171,07-05-1848,1
2652,PLANT,35,07-05-1848,57
2653,MANTEO,4,07-05-1848,190
2654,EVANDA,144,07-05-1848,1
2655,METOR,4,07-06-1848,200
2656,JANE H GLIDDEN,4,07-06-1848,92
2657,THAMES,4,07-06-1848,13
2658,CHANCELLOR,4,07-06-1848,306
2659,MARMION,4,07-06-1848,252
2660,MARY HARRINGTON,187,07-06-1848,102
2661,FOREST KING,4,07-07-1848,396
2662,PRINCE ALBERT,61,03-22-1848,31
2663,HIGHLAND MARY,4,03-23-1848,153
2665,LIVERPOOL,4,03-23-1848,237
2666,HARRIET AUGUSTA,4,03-24-1848,107
2667,YORKSHIRE,4,03-24-1848,354
2668,MARMION,4,03-25-1848,237
2671,COLUMBIA,4,03-27-1848,390
2672,PATRICK HENRY,4,04-03-1848,135
2673,SIR ROBERT PEEL,4,03-30-1848,196
2674,AMERICAN EAGLE,61,03-31-1848,37
2676,COLUMBUS,4,04-03-1848,450
2679,INDEPENDENCE,61,05-01-1848,70
2680,ORPHAN,4,04-03-1848,200
2681,SIDDONS,0,03-22-1848,341
2682,ENTERPRISE,4,04-04-1848,214
2683,DOWNES,50,05-01-1848,85
2684,WAVE,59,05-01-1848,218
2685,SWAN,46,05-01-1848,93
2686,CHAS. MCLAUCHLIN,53,05-01-1848,76
2687,CAMBRIDGE,4,05-04-1848,215
2688,SOUTH ESH,18,05-04-1848,84
2689,ALBION,70,05-04-1848,13
2690,ST. PATRICK,4,05-05-1848,259
2691,LUCY ANN,46,05-05-1848,116
2692,MEDIATOR,61,05-05-1848,3
2693,CONSTITUTION,4,01-18-1848,222
2694,CAMBRIA,70,01-19-1848,6
2695,VICTORIA,61,01-19-1848,4
2696,MEDIATOR,61,01-19-1848,5
2697,GARRICK,4,01-20-1848,271
2698,CAMBRIDGE,4,01-20-1848,207
2699,JENNY LIND,4,05-06-1848,114
2715,FINGAL,4,05-06-1848,226
2716,HENRY HARBECK,4,01-21-1848,158
2717,IVANHOE,4,01-21-1848,102
2718,VIRGINIA,4,01-22-1848,259
2719,NEW ZEALAND,53,05-06-1848,219
2720,PRINCESS ROYAL,4,05-06-1848,373
2721,INDIA,4,01-22-1848,200
2722,NEW WORLD,4,01-22-1848,191
2724,SERAPHINE,61,05-06-1848,188
2725,SERAPHINE,53,05-08-1848,219
2726,CONSTITUTION,4,05-08-1848,516
2727,CONSTITUTION,18,05-08-1848,203
2728,HARMONIA,6,01-24-1848,55
2729,ERRONDURGA,6,01-24-1848,11
2730,NAOMI,4,01-24-1848,241
2731,LEAR,184,05-08-1848,1
2732,COUNTESS OF DURHAM,4,05-09-1848,133
2733,CHILDE HAROLD,17,05-09-1848,2
2734,WOLFSVILLE,18,05-09-1848,166
2735,ISABELLA STEWART,59,05-09-1848,202
2736,ED AUGUSTA,16,05-09-1848,12
2737,NAPANNA,59,05-10-1848,123
2738,NELSON VILLAGE,18,05-10-1848,155
2739,ENGLAND,4,05-10-1848,239
2741,MARCH. OF CLYSDALE,3,05-10-1848,92
2742,SIR HENRY SMITH,4,05-10-1848,141
2743,BARBARA,35,05-11-1848,154
2744,ANN HARLEY,6,05-11-1848,10
2745,SARDINIA,4,01-25-1848,98
2746,EMERALD,53,01-25-1848,43
2747,MARY MORRIS,6,01-25-1848,47
2748,QUEEN OF THE WEST,4,04-04-1848,313
2749,TUSCAN,4,01-26-1848,314
2750,IVANHOE,4,05-12-1848,174
2752,MARTHA WASHINGTON,4,01-28-1848,7
2753,JOHN FIELDING,4,01-29-1848,282
2754,SWITZERLAND,61,01-31-1848,5
2755,GLADIATOR,61,04-04-1848,32
2756,HUDSON,6,04-04-1848,54
2757,ATLANTIC,4,05-06-1848,242
2758,HOWARD,4,04-04-1848,256
2759,ELIZA CAROLINE,4,05-11-1848,263
2760,JUDAH FUORO,4,05-12-1848,221
2761,FORFARSHIRE,4,05-12-1848,228
2762,WATERLOO,4,04-05-1848,340
2763,PHEASANT,67,05-13-1848,5
2764,SARAH MILLEDGE,35,05-13-1848,168
2765,CAMBRIA,188,05-14-1848,6
2766,HOPE,167,05-15-1848,1
2769,WARRIOR,132,05-15-1848,91
2770,CHAOS,4,05-16-1848,298
2771,TITCOMB,3,05-16-1848,196
2773,CLARENCE,35,04-21-1848,109
2774,A.Z.,4,05-16-1848,133
2775,SUPERIOR,18,04-21-1848,203
2776,ELIJAH SWIFT,6,04-21-1848,50
2777,MARGARET,173,05-17-1848,227
2778,GARRICK,4,05-19-1848,225
2779,OHIO,4,04-21-1848,216
2780,METOKA,4,05-19-1848,276
2781,NORTHUMBERLAND,61,04-21-1848,152
2782,NEW ORLEANS,60,04-05-1848,1
2783,BROOKLYN,6,04-05-1848,24
2784,ROSA LINDA,18,05-20-1848,268
2785,GEORGIA,4,05-20-1848,147
2786,INFANTA,18,04-21-1848,262
2787,WOODSIDE,4,04-05-1848,27
2789,ANN,132,04-06-1848,106
2790,JOHN S DEWOLF,59,05-20-1848,218
2791,LONDON,61,05-20-1848,230
2792,WARREN,191,04-06-1848,26
2793,MARGARET,46,04-22-1848,58
2794,AURORA,4,04-22-1848,215
2795,MARGARET,50,05-21-1848,153
2796,STANDARD,18,05-22-1848,197
2797,ARLINGTON,4,05-22-1848,82
2799,MARGARET,134,07-07-1848,50
2801,HERSILIA,59,07-08-1848,125
2802,INDUSTRY,46,07-08-1848,66
2803,ROSCIUS,4,07-08-1848,267
2805,ITALY,4,04-06-1848,280
2806,SARAH SANDS,4,04-22-1848,283
2807,CHESTER,4,05-22-1848,167
2808,DEFENCE,4,05-23-1848,203
2809,JENNY LIND,4,05-24-1848,185
2810,MESSENGER,35,05-24-1848,141
2813,CUSHLAMACHREE,36,04-23-1848,131
2814,SARAH,59,04-24-1848,167
2815,RIO GRANDE,4,04-24-1848,135
2816,ARETHUSA,18,04-06-1848,250
2817,COMMERCE,4,05-24-1848,221
2818,BLAKE,4,05-24-1848,264
2819,HOME,4,04-24-1848,274
2820,SAMUEL HICKS,4,04-26-1848,297
2821,ELIZA KEITH,4,04-29-1848,201
2822,AMERICA,4,04-29-1848,4
2824,INTRINSIC,4,05-24-1848,219
2825,WAKEFIELD,46,05-24-1848,247
2826,ELIZABETH,52,05-24-1848,206
2827,ST. JOHN,4,05-24-1848,228
2828,ANDREW FOSTER,4,05-25-1848,314
2829,WITCH,4,04-07-1848,83
2830,AMERICAN EAGLE      2,61,07-10-1848,95
2831,EMPRESS             5,61,07-10-1848,126
2832,CALEDONIA           6,188,07-10-1848,10
2833,ROMANCE             8,52,07-10-1848,92
2834,MARQUIS OF CHAMPS   9,52,07-10-1848,105
2841,COLUMBIA,4,07-21-1848,278
2842,Unknown,46,05-25-1848,107
2845,JULINDER,4,05-26-1848,177
2846,LORD ASHBURTON,59,05-26-1848,316
2847,HECLA,127,04-18-1848,1
2848,FANNY,3,04-18-1848,163
2849,CHANNING,4,04-18-1848,185
2851,ST. GEORGE,4,04-18-1848,223
2852,OXFORD,4,05-27-1848,243
2854,LIBERTY,4,07-22-1848,129
2855,HIBERNIA,188,07-22-1848,10
2856,PATRICK HENRY,4,07-24-1848,221
2857,LORD SANDOW,4,07-24-1848,173
2858,SOUTH CAROLINA,4,07-24-1848,231
2859,LANCASHIRE,4,07-24-1848,11
2860,CREMONA,46,07-24-1848,56
2861,COLUMBUS,4,07-25-1848,503
2862,WARREN,6,07-25-1848,2
2863,CALEB GRIMSHAW,4,05-27-1848,409
2864,EUXINE,4,05-27-1848,193
2865,ELLEN FORRESTAL,134,05-27-1848,76
2866,PLENTY,61,05-28-1848,112
2867,SUPERIOR,4,05-29-1848,36
2868,DEBORAH,4,05-29-1848,190
2869,THOMAS BENNETT,4,05-29-1848,195
2870,DOWNES,50,05-29-1848,85
2871,INA,4,04-25-1848,121
2872,ATLAS,4,04-20-1848,281
2873,JAMES FAGAN,59,04-08-1848,204
2875,HIBERNIA,4,04-10-1848,17
2876,AMBASSADRESS,46,04-10-1848,315
2877,SHERIDAN,4,04-17-1848,292
2878,CHARLES,18,05-29-1848,152
2879,ARABIAN,4,05-29-1848,210
2880,MARTHA,46,05-29-1848,101
2881,AMERICA,4,04-17-1848,446
2882,MOUNTAINEER,183,05-29-1848,197
2883,BRIDGET,46,05-29-1848,97
2885,HARMONIA,6,05-29-1848,48
2894,CHINA,4,04-13-1848,203
2896,CHARLOTTE HARRISON,173,07-25-1848,156
2897,JUNO,279,07-25-1848,256
2899,BROOKSBY,6,07-27-1848,5
2900,CHARLOTTE,18,07-28-1848,264
2901,J A JESUNUM,196,07-28-1848,1
2902,JAMES ANDREWS,35,07-28-1848,110
2903,ATALANTA,59,07-28-1848,129
2904,PETER HATTRICK,4,07-28-1848,163
2905,FRANCONIA,4,07-28-1848,192
2906,CAROLINE NESMITH,4,07-29-1848,224
2907,EAGLE,134,07-29-1848,110
2908,HUDSON,6,07-31-1848,3
2909,ENTERPRISE,4,07-31-1848,301
2910,SULTANA,4,04-13-1848,368
2911,MONTEZUMA,4,04-15-1848,353
2927,ISABELLA HYNE,42,08-02-1848,1
2928,SPLENDID,197,08-02-1848,9
2929,AMERICA,4,08-05-1848,6
2930,FOREST MONARCH,4,08-05-1848,479
2937,ABERDEEN,4,08-07-1848,183
2944,CORDELIA,41,08-07-1848,2
2945,FALCON,198,08-08-1848,3
2946,ATTAKAPAS,198,08-08-1848,3
2948,ROMULUS,6,08-09-1848,57
2949,NEW YORK,4,08-09-1848,275
2951,TRENT,60,08-09-1848,7
2953,ELSINORE,4,08-10-1848,240
2954,BOGATA,200,08-11-1848,1
2955,GLOBE,47,08-11-1848,1
2960,SEA,4,08-12-1848,1
2962,MERSEY,4,08-14-1848,25
2965,BOSTON,4,08-14-1848,139
2968,WILLIAM CARSON,59,08-15-1848,136
2969,TERRA NOVA,136,08-15-1848,1
2970,GALVESTON,39,08-16-1848,2
2971,WATERLOO,4,08-17-1848,283
2972,WESTMINSTER,61,08-17-1848,2
2973,NEW YORK,16,08-17-1848,1
2974,NIAGARA,4,09-01-1848,1
2975,FINLAND,4,09-04-1848,173
2976,CAMBRIA,4,08-19-1848,4
2977,ST. GEORGE,4,08-21-1848,318
2978,KATE HUNTER,4,08-22-1848,82
2979,GLADIATOR,61,08-22-1848,3
2980,QUEEN OF THE WEST,4,08-22-1848,256
2981,THOMAS WRIGHT,6,09-04-1848,23
2984,INDEPENDENCE,61,09-05-1848,18
2985,SHERIDAN,4,08-23-1848,131
2986,WISCONSIN,4,08-23-1848,108
2987,ENGLAND,4,09-05-1848,278
2990,NICHOLAS BIDDLE,4,09-07-1848,34
2991,CHARLES ELLIOT,100,09-07-1848,1
2992,RICHARD ALSOP,4,09-08-1848,260
2993,TRANSIT,142,10-02-1848,1
2994,JAVA,4,10-02-1848,211
2995,MARMION,4,10-03-1848,203
2997,LORD NELSON,52,10-05-1848,76
2998,SIR CHARLES NAPIER,4,08-23-1848,241
2999,M HOWES,4,08-23-1848,117
69,GARRICK,4,01-30-1847,359
70,NIAGARA,4,02-26-1847,87
81,THETIS,18,02-25-1847,96
112,CLUTHA,6,06-16-1848,183
113,ADONIS,4,06-17-1848,285
114,ARGYLE,46,06-17-1848,244
118,REPUBLIC,4,06-20-1848,241
119,ARETHUSA,53,06-20-1848,121
132,ELIZA,50,06-24-1848,67
146,AGNES,4,06-24-1848,162
147,ISAAC WRIGHT,4,06-22-1848,249
151,MONTREAL,4,06-12-1848,144
152,FANCHION,4,06-12-1848,195
156,LORD BYRON,6,06-12-1848,149
157,CHENAGO,61,06-12-1848,13
159,SAMOSET,4,06-12-1848,107
161,QUEEN,4,06-01-1848,334
162,INFANTA,59,06-01-1848,164
166,SIR JAMES MCDONALD,59,06-09-1848,92
169,GONDAR,4,06-12-1848,205
186,Unknown,45,06-12-1848,16
187,HELENA,35,06-13-1848,130
188,HOTTINGUER,4,06-13-1848,8
189,MILAN,4,06-13-1848,257
192,CALIFORNIA,4,06-14-1848,227
197,EMERALD,3,06-13-1848,69
213,OREGON,4,06-02-1848,257
223,CALEDONIA,3,06-16-1848,275
244,MEMNON,4,06-27-1848,267
252,BRITTANIA OF GLASGOW,4,06-26-1848,4
253,ASHBURTON,4,06-26-1848,263
370,ADAM CARR,6,06-26-1848,21
374,TRITON,59,06-29-1848,266
451,LEONIDAS,4,06-28-1848,260
453,VANDALIA,4,06-29-1848,146
458,E.Z.,4,06-27-1848,49
472,KATE HOWE,4,06-30-1848,212
473,SOPHIA,50,06-27-1848,75
490,SARAH SANDS,4,06-28-1848,83
493,KING PHILIP,63,06-26-1848,1
503,SULTAN,59,06-29-1848,133
504,W M VAIL,4,06-29-1848,223
509,BRITISH QUEEN,106,06-29-1848,211
511,GRAMPION,18,06-26-1848,274
517,JANE,4,06-29-1848,206
676,JANET,132,10-10-1848,130
680,ST. LAWRENCE,4,10-09-1848,36
683,ANGENORA            5,4,07-10-1848,205
684,ADAM CARR,6,10-10-1848,5
685,HANNAH              7,134,07-10-1848,52
686,W A COOPER          4,4,07-10-1848,228
687,MADAWASKA           3,6,07-10-1848,24
689,BROTHERS,53,07-11-1848,188
690,JOSEPH R PRIM,134,07-11-1848,45
696,WELLINGTON,61,10-12-1848,2
698,SIDDONS,4,07-11-1848,245
702,HARMONY,50,07-18-1848,70
703,SCOTIA,59,10-02-1848,74
704,SARDINIA,4,07-17-1848,211
705,MARTHA J. WARD,4,07-14-1848,135
706,ONEIDA,4,07-14-1848,291
710,PEDRAZA,38,07-19-1848,13
711,ASHLAND,4,07-21-1848,135
714,YORKSHIRE,4,10-28-1848,233
715,ROBERT A PARK,35,07-14-1848,173
716,ARCHIMEDES,106,07-13-1848,116
717,STUART ELPHUSTON,6,07-12-1848,64
718,PHILAH,18,07-21-1848,150
719,MASONIC,4,07-20-1848,111
720,LORD FITZGERALD,35,07-01-1848,52
721,JAMESTOWN,4,07-08-1848,288
727,ELIZA MORRISON,18,07-08-1848,264
735,JANE ANDERSON,46,07-03-1848,124
738,PURSUIT,4,07-03-1848,239
744,Unknown,6,11-06-1848,41
745,LIVERPOOL           1,4,07-10-1848,284
769,MARGARET JANE,136,01-12-1846,1
771,EMPIRE,4,01-15-1846,72
772,OXFORD,4,01-16-1846,69
773,ROCHESTER,4,01-16-1846,61
776,CORNELIA,4,01-26-1846,24
777,NEW YORK PACKET,70,01-26-1846,2
779,VIRGINIAN,4,01-29-1846,114
780,HYDER ALI,137,02-02-1846,1
782,COLUMBUS,4,02-02-1846,33
783,WATERLOO,4,02-05-1846,1
784,MUDARA,17,02-07-1846,1
786,ST. GEORGE,4,02-18-1846,67
787,ADAM CARR,6,02-19-1846,1
788,FIDELIA,4,02-23-1846,89
790,GRANDEE,70,03-02-1846,2
791,TORONTO,61,03-04-1846,3
792,MASSACHUSETTS,4,03-05-1846,6
793,HOTTINGUER,4,03-06-1846,20
794,ASHBURTON,4,03-07-1846,71
796,ROSCIUS,4,03-07-1846,67
797,SEA,4,03-09-1846,3
798,HENDRIK HUDSON,61,03-09-1846,13
799,CENTURION,4,07-11-1848,201
800,EUROPE,4,03-09-1846,55
801,PACIFIC,4,03-09-1846,50
802,NEW YORK,4,03-13-1846,163
804,OHIO,4,03-13-1846,15
805,PRINCE ALBERT,61,03-13-1846,50
806,LIVERPOOL,4,03-13-1846,270
809,SHAKESPEARE,4,03-14-1846,94
810,JOHN R SKIDDY,4,03-16-1846,196
811,HUDSON,6,03-19-1846,5
812,WESTMINSTER,61,03-24-1846,23
813,SAMUEL HICKS,4,03-24-1846,18
814,HEBE,4,07-01-1848,178
815,KALAMAZOO,4,03-24-1846,282
817,SHENANDOAH,4,03-27-1846,192
818,ST. PATRICK,4,03-27-1846,349
819,MAGNA CHARTA,59,07-01-1848,133
820,HYNDEFORD,6,07-08-1848,4
821,SIDDONS,4,03-28-1846,348
822,ADELAIDE,17,03-30-1846,1
823,YORKSHIRE,4,04-02-1846,390
824,FREDONIA,4,04-04-1846,215
825,JULIET,50,07-01-1848,65
826,PRINCE ALBERT,61,11-03-1846,68
827,NIAGARA,4,06-09-1846,215
828,FINLAND,4,11-03-1846,171
829,KESTREL,4,06-09-1846,301
830,JOHN R SKIDDY,4,11-04-1846,309
831,STEPHEN WHITNEY,4,04-06-1846,341
832,METEOR,4,04-06-1846,180
